dapil,suara_golkar,total_suara_sah,share_pct,top_candidate,suara_top_candidate,rank_nasional
Banten 1,52570,382365,13.75,Teguh Istaal,30251,4
Banten 2,112050,563782,19.88,H. Fahmi Hakim,71374,4
Banten 3,52557,321565,16.34,H. Muhsinin,26943,4
Banten 4,98377,589873,16.68,Wahyu Nugraha,25491,4
Banten 5,116706,609123,19.16,H.A. Jaini,43940,4
Banten 6,106184,526188,20.18,H. Muhammad Faizal,36782,4
Banten 7,80079,541746,14.78,H. Kuswarsa,23577,4
Banten 8,45447,442780,10.26,Hj. Desy Yusandi,24924,4
Banten 9,138170,772976,17.87,Ananda Trianh Salichan,45727,4
Banten 10,74992,770783,9.73,H. Supriyadi,25257,4
Banten 11,81249,685366,11.86,H. Fitron Nur Ikhsan,38956,4
Banten 12,42781,247869,17.26,Dr. Hj. Ratu Amalia Hayani,32567,4
