partai,dapil_1,dapil_2,dapil_3,dapil_4,dapil_5,dapil_6,dapil_7,dapil_8,dapil_9,dapil_10,dapil_11,dapil_12,total
PKB,22967,32541,22445,55529,40248,66854,59589,40604,55717,76690,84970,8566,566720
Gerindra,42487,63033,58081,78995,68574,72587,69523,59480,85284,130944,119932,37512,886432
PDI Perjuangan,59927,72301,34613,78015,74119,106184,78125,57106,118573,91785,69620,13197,853565
Golkar,52570,112050,52557,98377,116706,106184,80079,45447,138170,74992,81249,42781,932670
NasDem,43832,58239,28129,47955,42621,31453,31182,23674,34495,58252,41107,12630,453569
Buruh,2927,6285,2894,5664,4992,6369,8792,2959,9089,1356,5190,3407,60924
Gelora,2215,3260,1754,9556,6279,5232,4791,2054,5060,4109,4095,1350,49755
PKS,42120,64809,48559,51652,53633,59161,68305,75866,142886,58576,60699,35888,762154
PKN,322,594,427,869,1389,726,564,570,1367,8322,3085,112,18347
Hanura,1138,7534,646,6507,2131,324,1849,613,3008,13766,5394,3407,46317
Garuda,1068,7470,1868,1258,1067,313,1301,1330,2094,5784,4095,1111,28759
PAN,33842,24482,42876,37415,60699,48069,32944,25001,32608,37859,41107,35888,452790
PBB,9552,3207,1173,11591,2310,918,1060,1408,2006,5664,5190,1659,45738
Demokrat,34455,51987,16826,42024,106893,23586,36646,50708,44959,42024,63557,16697,530362
PSI,5155,6976,2457,13822,19103,30707,37485,26450,60793,3782,5190,3815,215735
Perindo,1806,3559,1072,10612,6694,9671,12322,5339,13157,13766,17773,3684,99455
PPP,24233,43560,4735,47955,18266,9671,13779,17390,16040,58252,41107,21321,316309
Ummat,1749,1895,453,2173,1901,2165,3410,6781,7670,4607,2162,1025,35991
total_suara_sah,382365,563782,321565,589873,609123,526188,541746,442780,772976,770783,685366,247869,6454416
